,GSM1519728_Ji-Batch3-1_PrimeView_.CEL.gz,GSM1519729_Ji-Batch3-10_PrimeView_.CEL.gz,GSM1519730_Ji-Batch3-11_PrimeView_.CEL.gz,GSM1519731_Ji-Batch3-12_PrimeView_.CEL.gz,GSM1519732_Ji-Batch3-13_PrimeView_.CEL.gz
KCNG1,5.250700077,5.212668431,5.296683108,5.273369732,5.642686076
KCNG2,6.738334194,7.002033213,6.827732856,7.077086104,6.935493565
CBX8,5.618172926,5.913828438,5.327941167,5.833894945,5.75087179
KCNG4,4.804814464,4.761394432,4.737287932,4.801436821,4.718157723
NUBPL,5.651739388,5.551944909,5.560783016,5.317816008,5.463920785
HTR5A,4.469495143,4.451572611,4.488337573,4.437391852,4.32236869
PANX1,6.973328563,7.099793565,7.016067241,6.836150662,6.774412143
OR4C15,5.334773068,5.699643844,5.561117769,5.563631316,5.497203941
NPB,7.794922651,8.031688702,7.602636432,8.113609346,8.026580689
OR4C11,4.819128017,5.04769763,4.948883882,4.79700843,4.871682599
GAST,5.669982767,5.316721473,5.549013009,5.620030762,5.629863857
OR4C13,4.864432456,4.599881625,4.333492272,4.75811631,4.637653995
OR4C12,3.849227568,4.043253819,4.009228748,4.062147738,3.837123677
DEFB116,3.896891844,3.947679554,4.103869055,3.950236601,4.796627585
C20orf177,8.680335803,8.881439601,8.514561694,8.532100394,8.689806971
DEFB114,3.775997099,3.867408356,3.82130927,3.756561361,3.742419257
DEFB115,6.33573106,6.485645131,6.797697269,6.607321507,6.553746051
DEFB112,4.237337746,4.483360295,4.175746887,4.445274584,4.311940444
DEFB113,6.164522978,6.178771048,5.824400393,6.349411192,6.073469294
CYP2D6,7.258971269,7.214446411,7.133350673,7.337510278,7.320282552
SUB1,7.283337477,7.827773667,8.148703252,7.977329252,8.014573413
RPRM,4.161976068,4.370887757,4.34989485,4.321773377,4.246283909
HEPHL1,4.752318933,4.675022532,5.060036241,5.227871652,5.238869436
PIGG,6.295806367,6.299091154,6.262791267,6.609156731,6.415229607
MFSD2A,6.171354537,6.327813182,6.393876447,6.09419071,6.094404931
DEFB118,3.834401138,4.328938869,3.874697454,4.164520603,4.387112772
DEFB119,4.801654137,4.795003588,4.695093614,5.005596602,4.857149809
LCN15,6.186251121,5.942455637,5.79811955,5.970463097,5.915601958
DMBT1,5.648990907,5.79811955,5.666120237,5.78340693,5.376848367
PRKG1,4.320398253,4.370443757,4.507907678,4.601647716,4.465126996
LCN10,5.308762269,5.197720775,5.220629668,5.2605061,5.118242178
PRKG2,4.643338787,4.851910838,4.725785849,4.714236148,4.758571615
C10orf54,12.15059183,11.96216774,12.15997907,11.58289067,11.51450424
TRAF3IP2,6.908074927,6.736425393,6.788811585,6.637220114,6.697591202
TNS1,7.096932339,6.842472101,7.437394418,6.771454708,6.453017178
C10orf57,7.464264241,7.566198865,7.469798818,7.57308224,7.55827829
TNS4,5.829065827,5.850980294,5.71738697,5.931299899,5.992502325
C20orf186,5.408925673,5.432849026,5.474436386,5.318723963,5.498805401
GSTA5,3.946700724,3.807741621,3.8217289,4.728624335,3.903952046
NEU3,5.345809076,5.536257105,5.215409933,5.555600875,5.385072501
CEP72,5.91407533,5.932835918,5.856624228,5.896026851,5.934854973
NLRP4,5.287213065,5.464122741,5.229289601,5.447225764,5.347585545
HHLA3,4.590640277,4.504519583,4.527051293,4.256430054,4.50665684
ARID2,7.660367858,7.763671263,7.743845527,7.692844509,7.575130044
SPRR4,6.571050066,6.355373756,6.303344535,6.459150143,6.384492483
LOC652276,6.748521086,6.606607464,6.520820193,6.421116016,6.569487647
LOC401093,5.094405952,5.37851404,5.421420791,5.519407638,5.4257531
SPRR3,5.605327724,5.535443447,5.346067633,5.583336023,5.358708618
PMEPA1,6.762182621,6.433131061,6.595636063,6.675970225,6.262791267
LOC100509020,4.828934339,4.894765142,4.423981427,4.707340108,4.734198096
OR8D4,4.995718169,4.875244876,4.863104867,5.005148356,4.89063382
NLRP6,6.160935595,6.367844464,6.481579913,5.714683461,5.84809383
OR8D1,5.30683386,5.693137067,5.790944938,5.547401977,5.482934832
OR8D2,5.102648318,5.092641562,4.608055307,5.189561792,5.157989273
ZNF777,5.936772892,5.934608555,5.955498765,5.872561183,5.992255391
ARGLU1,5.279506331,5.128034251,5.365180707,5.396584724,5.159001187
NLRP1,8.438593577,8.649833167,8.528214873,8.31963425,8.461713342
PIGO,7.784366901,7.662321488,7.65605263,7.612116175,7.659647859
KLC2,7.122651889,7.242636396,7.172255167,7.252745666,7.333484003
PIGP,7.020143172,7.2563209,7.6508585,7.274553622,7.650572192
KLC3,7.088981332,7.338755808,6.58955688,9.04153477,7.970226028
C20orf185,6.010554273,5.783622667,5.732543852,5.632835541,5.742179735
CALML3,5.858494303,6.110859555,5.865067325,6.079618635,6.021878452
PAIP2B,5.784911229,5.730894951,5.779395895,5.913828438,5.988998724
NLRP2,6.414954574,6.276357771,6.020071661,6.148186807,6.226083787
GLYCTK,6.987878902,6.84727822,6.875487757,6.940094822,6.906769905
DHX40,8.860383701,9.07357635,9.179874472,9.201791103,9.102776168
CALML5,5.653536474,5.815304361,5.617015228,5.69362803,5.815738265
STK38L,7.514520628,7.462048557,7.7247443,7.733427076,7.285797657
TRIM9,4.930668857,5.078082328,5.014024141,4.957125453,4.66603378
PFN1,12.00031428,11.87381493,11.94236002,11.82271333,11.80402285
TMEM211,6.367365043,6.182146549,6.432181379,6.556535498,6.469806095
SHISA7,6.02106466,6.061900193,5.98526911,6.305221388,6.224462001
PFN4,5.604616111,5.714031465,5.368015441,5.300798639,5.271043887
TMEM216,8.935352081,9.033845555,8.690913251,8.905653881,8.150516684
SHISA2,5.060258267,5.071174488,4.757196659,4.650809391,4.928199052
TMEM214,6.357737086,6.33163141,6.357493298,6.379886759,6.398795169
COX10,5.717691375,5.774624524,5.808419019,5.623469345,5.785202777
COX11,6.672816766,6.32633546,6.740705726,6.424262321,6.535339275
TRIM3,4.869749495,4.984024597,5.180560245,5.058441102,4.868757652
TRIM2,4.09883724,4.427314135,4.316680266,4.337699212,4.352361935
ARPP21,5.084731182,5.119916322,5.305354381,5.252024719,5.048456764
COX15,6.425387593,6.757182955,6.510798334,6.63094592,6.266617281
GAS7,7.439597713,7.352638102,7.467550359,7.371068232,7.201860749
GAS6,6.530862751,6.62379542,6.662154046,6.425387593,6.394633658
PDGFRB,6.028422193,6.105627155,5.60123847,6.01793236,6.007794818
PDGFRA,5.415694702,5.609148566,5.31597632,5.689837772,5.418816185
ANKRD13B,6.062141151,6.004552154,6.149583125,6.619905864,6.404210446
ANKRD13C,5.256961274,5.138790088,5.553428109,4.895264238,5.183516887
ANKRD13A,8.54883258,7.839969872,8.247286417,9.298026793,11.99432035
KIAA1467,4.578781745,4.384249118,4.309560658,4.552889662,4.208983049
OR8G5,4.099136172,4.070297781,3.914942194,4.023695081,3.795238041
AIDA,7.736309529,7.545337449,8.013357077,7.815180801,7.868632192
UGT2A3,4.13529041,3.895741233,4.050487557,3.857667702,3.902245136
KIAA1462,4.139263578,4.205849501,4.087975702,3.953223108,4.148292249
UGT2A1,4.178886029,4.31927969,4.287878156,4.237089606,4.292496217
PDGFRL,5.353073061,5.346577703,5.120160084,5.311974115,5.140331691
FBXW11,7.923512957,8.167385324,8.154338633,8.035295918,8.010063391
PPA2,6.10058781,6.0630887,5.860960728,6.156293114,5.941811941
PPA1,10.43016554,10.22774933,10.47357861,10.24943957,10.2107868
LOC400590,3.995111131,4.290991552,4.166805534,3.863036989,4.031151043
MCTP1,7.423810211,8.189514657,7.839504757,6.94964469,7.351192376
EMCN,4.009562222,4.019015227,3.93677933,3.930503198,3.896215727
WDR26,8.795236754,9.35351591,11.3958397,9.327055314,8.352713513
BET1,6.422691408,6.192675733,6.490087288,6.381950939,6.121342123
NUP62,7.801443588,7.963968286,7.68980379,7.589955509,7.706130676
MGC45800,4.065872064,3.960433135,4.054476291,3.822269955,4.043253819
LOC729658,5.859259714,5.897597456,5.973867454,6.251879111,6.171354537
WDR27,4.90142398,4.914770444,5.06370759,4.54892977,4.75811631
OR2Y1,4.476420126,4.906581228,4.441384329,4.510430511,4.368926568
ALCAM,5.848751033,5.949134934,6.371864268,5.782697977,5.515520497
TPM4,8.270261749,8.333033971,8.537819315,8.228996115,8.576566828
CSF1R,7.587530913,7.86377769,7.604087131,7.514789884,7.400906019
TPM2,6.32633546,6.219512241,6.434355179,6.049396481,6.147215235
TPM1,7.126600772,7.262417135,6.789860531,7.196472221,7.089560194
ETF1,7.919412715,7.913537142,8.010460444,7.849073502,7.721884833
FBXW9,5.045861318,5.164398575,4.845506098,4.877890841,5.046939935
C22orf39,6.394633658,6.40565821,6.459150143,6.427395356,6.243644949
TMEM150B,6.429251417,6.496076251,6.355859679,6.373053015,6.565593556
FAM21C,9.653195486,10.20446931,9.984845023,9.936285629,9.822223338
FAM21A,10.5990718,11.69477766,10.6141768,10.60119876,10.72942148
SIPA1,10.45448855,10.39192427,10.39192427,10.43016554,10.14842866
C22orf33,4.090311539,4.172983934,4.11583961,4.292268474,4.018700024
C22orf32,8.381954285,8.497793997,8.636763331,8.524686911,8.982865726
FBXW2,8.452770003,8.516224906,8.2380784,8.229851598,8.243186175
C22orf30,7.13715118,4.686238586,6.913020161,6.913315873,6.629053678
FBXW4,9.134275771,8.694813727,8.762009507,9.579885563,9.164861738
C22orf36,5.074268391,5.282828897,5.157505948,5.024654095,5.020607517
FBXW7,8.608390329,8.561285436,8.571468204,8.419119403,8.458023027
ETFA,9.479572582,9.445157398,9.672170773,9.682290913,9.570819511
TGFBR2,10.22560968,10.16565497,10.33285039,10.09907798,10.02148948
TGFBR1,4.75596254,4.500147831,4.504519583,4.616494324,4.492637616
ETFB,8.673110547,8.854336205,8.709904033,8.646082292,8.626647932
SH3RF2,5.381615315,5.280714494,5.31552325,4.995970291,5.302562723
SH3RF3,6.887250156,7.688871371,6.755214581,5.955498765,7.388318551
LOC100289424,5.876340205,5.807353896,5.543552635,5.682236173,5.781925072
SH3RF1,5.377058317,5.395238743,5.471127228,5.316500785,5.403207172
SMNDC1,8.545134872,8.388922343,8.915663456,8.663040651,8.554967062
TPMT,7.206064383,7.198080025,7.370418851,7.152179545,7.228819028
SSX2IP,5.997443136,5.854631241,5.890554131,5.745252043,5.943829503
YKT6,6.700132341,6.693201918,6.885336976,6.84727822,6.518744075
ALPP,6.316640362,6.393876447,6.265082919,6.483072777,6.411198071
PCIF1,6.930103106,6.248523005,6.524919792,6.639908309,6.705036882
C1orf156,7.200382028,6.961289204,7.29496887,7.298139448,7.089866981
TJP2,7.519075598,7.83723142,7.874925955,7.472325863,7.360696894
TJP3,5.153395982,5.342452635,5.173352687,5.096058792,5.272575065
IL21R,7.234592567,7.10061688,7.368460129,7.152955161,7.060004047
TJP1,4.695093614,4.870748829,4.997104737,4.923328915,4.905576727
PPAN,7.227239814,6.861840662,7.077379735,6.753513695,7.106920082
OR7A5,5.695175852,5.642686076,5.42683232,5.516004382,5.494151966
NCRNA00268,5.977014264,5.653014392,5.706350576,5.819016632,5.954479285
RAB14,7.705483582,9.315519336,9.449406446,9.286370095,9.337243176
PPAT,7.814208389,7.973210658,7.655259357,7.916613154,7.959509007
LOC642587,4.811644573,4.902688242,4.814122184,4.754318125,4.726737178
GKAP1,6.760277135,6.473395279,6.713260678,6.873415683,6.789860531
SH3PXD2B,5.261250758,5.225631656,5.453320235,4.889187485,5.006081444
TUB,4.471449717,4.217167421,4.38231544,4.45872035,4.225833099
SH3PXD2A,6.934430818,6.94964469,6.956430317,7.279656255,7.214446411
C11orf20,5.781925072,5.451319764,5.300088688,5.86975153,5.833701418
KLHL10,4.519157717,4.141916581,4.320889984,4.382852563,4.293255183
THPO,5.239438886,5.540888213,5.136337266,5.510392566,5.647055906
ACVR2A,5.810389766,6.218214195,5.994127636,5.530357747,6.154680818
CYP20A1,7.740472521,7.845210512,7.822242035,7.610358353,7.680668717
CHPF2,8.575011143,8.49599928,8.296043777,8.414697575,8.299265745
ACVR2B,6.625950074,6.384199243,6.548788866,6.783083026,6.988806159
AGRP,5.92795341,6.006483826,6.070975275,5.858235453,5.782697977
NFYC,7.565192547,7.445643365,7.509577518,7.445643365,7.168558509
NFYB,6.620406723,5.966183994,6.387099712,6.173801841,6.011904695
NFYA,7.627123813,7.753893683,7.615650604,7.50057635,7.37423599
C9orf50,5.70181865,5.736521445,5.700626869,5.33818168,5.405246899
SMARCA1,4.298849366,4.283336953,4.267799346,4.337699212,4.397887663
SMARCA2,8.034767533,8.338426627,8.307567584,7.937037914,8.086844734
RABL5,6.537092019,6.409093212,6.354894123,6.381713137,6.310812517
CCNI2,5.072018382,5.208786322,5.087340379,5.190350682,5.194834382
SMARCA5,9.185778183,9.354461849,9.493449642,9.193204802,9.318472156
POMZP3,6.877669057,7.836860153,7.337510278,7.304424276,6.819373929
FYB,7.180517482,6.508240056,7.084703758,8.990438158,11.83501419
SYCN,5.196725351,5.650902742,5.325938688,5.439887445,5.891775132
GOLGA6L9,5.51121184,5.56182568,5.397596667,5.348698037,5.38188792
GOLGA6L4,6.346379822,6.222477704,6.470675103,6.222738347,6.125458735
PACRGL,5.701609124,5.75087179,5.861220142,5.563163032,5.614634229
OLAH,4.266219235,4.806026677,4.304118731,4.349692317,4.166254878
LYSMD4,6.761326896,6.6264856,6.662618085,6.725604085,6.68182647
FYN,10.57109555,10.39650966,10.54823019,9.987304412,10.38966044
GOLGA6L1,4.842834448,5.118465905,4.874009883,4.852429363,5.032803143
ASCL2,8.833690557,8.503926382,8.526740753,8.577116912,8.508023978
CES1P1,4.730284811,4.488575875,4.5370928,4.522104826,4.315573019
TOR1A,7.74355249,8.109957192,8.028130638,7.809712661,7.537126846
TOR1B,9.246741847,9.469919554,9.429144184,8.96880918,9.176388181
OST4,8.752137986,9.424007215,8.783598491,9.807422063,12.214332
CCT6A,8.711044013,8.650274888,8.753180068,8.437080528,8.762449688
PAF1,7.845535437,7.736965245,7.83723142,7.557982477,7.495100518
STRADA,6.956157851,6.886150846,6.83900084,6.517394327,6.423409881
OSTN,4.737514912,4.796775165,4.859580842,4.847077869,4.932303722
XAGE1A,4.719498091,4.647706188,4.554028558,4.770213769,4.56648851
ASCL1,5.502594605,5.391152919,5.233517338,5.37322364,5.368015441
LOC100134391,5.353360452,5.03957914,5.03908101,5.210465632,5.131137085
CHCHD3,6.327545825,6.396431484,6.326119279,6.202501961,6.40094817
RUFY1,9.713254842,9.824270988,10.27508585,10.14676119,10.08155483
RUFY3,6.717543167,6.954206732,7.22675096,6.62379542,7.007074816
RUFY2,6.252508535,6.339219369,6.484370759,6.420519756,6.111471772
FCGR2B,9.297590751,9.244606478,8.982200604,8.742247404,9.748169102
OSTC,9.433158402,9.366785273,9.55322313,9.442956025,9.6883485
FCGR2A,8.170268641,8.775342473,9.004458549,9.883828345,11.878895
NLE1,6.344776017,6.430281965,6.212482396,6.667464452,6.861556447
ROD1,6.887759143,6.719798701,6.812134731,6.528668494,6.194547877
CYP11A1,4.091610817,3.992572549,4.110652291,4.055146155,4.084180541
SKIL,4.823262239,5.288832408,5.023897157,4.927008362,4.749146086
FBXW4P1,7.446896591,7.117404866,7.228269156,7.379729566,7.324774777
CYTH1,6.720040187,6.464371336,6.504960602,6.489360123,6.540239361
TANK,8.983524325,8.904328332,9.185778183,9.089659607,7.583251912
CYTH3,5.760356284,5.663943513,5.878923715,5.713820327,5.608404318
CYTH2,6.178217377,6.054775937,5.958884482,6.114232242,5.831793333
CYTH4,7.608706534,7.825111576,7.576217922,7.516044678,7.153549945
BSPH1,4.244332621,4.398611373,4.156760511,4.173521856,4.293441048
CHCHD7,8.430905661,8.242815909,8.294211116,8.053053539,8.24465273
DPH1,8.352169923,8.465667537,8.61243158,8.330096089,8.681606357
DPH2,7.319583761,7.327798188,7.324248907,7.127932153,7.206385211
DPH3,8.248008428,8.15512177,7.924260958,8.705326518,7.854756255
MYH7B,4.988149231,4.985991588,5.064964367,4.870748829,4.984995885
CHCHD4,6.660145471,6.530346061,6.461763478,6.572806897,6.452532923
SPAST,6.897165666,7.082260381,7.219341882,7.127154232,6.864612933
TRIM69,5.543552635,5.472378452,5.97601108,5.95376203,5.869245389
LOC100288966,3.791739337,4.110456759,3.916050859,4.809274602,4.086964478
FAM159A,6.995018175,7.117087925,7.027593885,7.075235859,7.158233305
PSAPL1,6.360607963,6.550106335,6.254278584,6.447429706,6.349411192
AGR2,4.150925807,4.086977101,4.001206966,4.087622943,3.900177825
AGR3,3.881786387,3.830222036,3.9256167,3.846431524,4.829884825
OCR1,4.950137174,4.810233012,5.04640092,4.984529253,4.807508406
WIBG,8.42250564,8.490938698,8.460021818,8.216734915,8.365552962
LDHAL6A,5.212940629,5.04071012,5.282350353,5.145808812,5.186036916
CANT1,8.845866299,8.895991102,8.824026981,8.936031694,8.704132087
CALCA,4.84966431,4.846845859,4.842624062,4.810233012,4.851157676
CALCB,5.20446235,5.182070509,5.020358022,5.060258267,5.108188981
OR13A1,5.642893027,5.437825032,5.770136626,5.767474961,5.54467226
TM2D1,9.165593483,8.995883716,8.857863728,8.87883913,9.018449781
CKM,6.154680818,6.012193613,6.391003209,6.267777883,6.236505656
PTGS1,7.452127012,8.153518407,7.9525555,8.027762571,8.180933805
LOC100287175,5.244886671,5.106359843,5.307988111,4.974305492,5.585890714
PLK1S1,8.24056279,8.058049049,8.243186175,8.048327641,8.183829164
TM2D3,9.084811188,9.156014212,6.414394677,6.024200095,8.964030986
OR51B5,5.594657656,4.984995885,5.032035129,5.27781265,5.3489545
OR51B4,3.871746596,3.827654568,3.998860127,4.036557265,4.091934515
OR51B6,5.327380732,5.275895595,5.248305113,5.368604559,5.412982805
PAM,7.693194838,6.764028229,7.454345491,7.170425517,7.39724545
OR51B2,5.83814973,5.800260658,5.755203579,5.755643903,5.649705991
DCN,3.989259349,3.994730192,4.108459468,3.911247554,3.921906495
GPAM,5.532635782,5.55144781,5.629614692,5.556218975,5.581891846
DCK,8.882161062,8.841945979,9.157593775,8.942717034,9.180559971
DCI,8.589850905,8.392489531,8.376555513,8.334486248,8.518364718
LIX1,4.899419494,5.132850431,5.181061696,5.092171545,5.239964498
ACSM3,6.264508893,6.408297839,6.109823944,6.004552154,6.341546091
ACSM5,5.547971092,5.976255299,5.77482745,6.000856147,5.816508325
DCC,3.854309512,3.858679276,3.912452474,4.043893623,3.90923853
THRA,6.929523093,7.177121945,7.15060782,6.917925484,7.133865823
TAF4B,6.113428821,5.914834403,6.190583043,5.881291961,6.197408149
PERP,6.276606082,5.973103023,6.137529873,6.231977768,5.763002057
CUL9,7.480726673,7.393811628,7.345893456,7.118879045,7.20099616
DCX,4.669589822,4.80217662,4.757684421,4.517729786,4.507672937
EIF4ENIF1,8.2390016,8.186137422,8.234458187,8.365552962,8.239830095
CUL5,9.022828798,9.216479569,9.564410184,9.121326474,9.24952762
DCT,4.101188545,3.995111131,4.146030218,4.188992733,3.892662185
CUL7,5.962568924,6.021342156,6.01081406,5.889627769,5.855492093
CUL1,8.495573689,8.456501138,8.456501138,8.091001087,8.358483787
CUL2,8.75794898,9.01143632,8.912985025,8.692435283,8.811986323
CUL3,6.799348164,6.637991052,7.217180919,6.708182539,6.725604085
SSPO,5.920131968,6.023968766,6.111980837,6.296561561,6.283670022
FOXJ3,9.828291573,9.984845023,10.26037311,9.853440844,9.936285629
TRIM28,8.551994548,8.440664059,8.09342862,8.205457658,8.315872869
TRIM29,4.508849928,4.488093881,4.600370569,4.509596898,4.566920563
PNKP,8.373252295,8.518364718,8.228110541,8.129748849,7.979698159
TRIM24,8.243666613,8.333033971,8.421069668,8.474367536,8.339881657
TRIM25,9.153434596,9.068056198,8.852405884,8.701432635,8.678096152
TRIM26,8.322463775,8.332567692,8.182305644,8.337507093,8.341273729
TRIM27,9.059658693,9.003698863,9.091945191,9.330000666,8.734016668
CREB3,7.676179711,7.564504967,7.289018742,7.407749661,7.321577915
TRIM21,9.799030633,10.02542561,9.736303279,9.902460009,9.355492181
TRIM22,9.670794526,9.737817885,10.14842866,8.351182252,9.327978208
TRIM23,7.279993602,7.215486094,7.410244024,7.047979416,7.067423886
PER3,4.614597883,4.901181699,4.68714258,4.274000728,4.928477496
PER2,6.079618635,5.868597437,6.052115877,5.86747003,5.674492916
PER1,6.125713588,5.968213723,5.895757705,5.471860196,6.008221242
PNKD,7.671777403,7.485042231,7.760198228,7.907990378,7.638916441
KRTAP10-7,4.641304296,5.172821434,4.923811009,4.980325624,5.157252804
GNPAT,8.371777768,8.334486248,8.60982147,8.245081254,8.308913603
C21orf37,3.867877167,4.039593439,3.816442086,4.286542015,4.002543711
C21orf34,3.889394378,3.910839815,3.921590943,3.940980119,3.799318641
GDF15,5.813765439,5.764006923,5.402909418,5.644779645,5.828063439
RHOT1,10.10702805,10.17887609,10.28836503,9.833776838,9.809998722
OGFRL1,6.820218557,6.624550276,7.347930286,7.14927208,7.497887932
FLJ10661,6.107938128,6.328094391,6.069178409,6.079162401,6.362636253
DYNC2LI1,4.63792624,4.776564213,4.800125407,4.599130767,4.612935925
KAT5,9.15442927,9.065320895,8.833108097,9.007081026,8.859710129
ARCN1,6.747650769,6.386864173,6.528397179,6.504439361,6.469520215
ZNF517,6.60004211,6.59201804,6.465142558,6.647798182,6.467899964
F2R,5.430052701,5.064450478,5.00734703,5.170854209,5.114438055
IHH,6.641014229,6.742085593,6.619056318,6.710853414,6.571050066
TEX261,6.249554399,6.526198237,6.003696391,6.464599955,6.08546074
ZNF514,6.250932261,6.121112692,6.261934761,6.101396066,6.566789066
PPDPF,9.222324082,9.644579116,9.075881323,9.739307006,9.066094534
C5orf43,8.295587054,8.230839421,8.176656586,7.926243174,8.110320537
FGD2,6.768631832,7.047979416,6.892711723,6.778006983,6.919056368
EDARADD,6.029677524,6.213970034,6.228103178,6.699389178,6.325372587
AES,9.101840201,8.961545126,8.758460159,8.845866299,8.705326518
PNRC1,4.833103897,5.195397499,4.856905532,6.143267756,8.671688889
GBA,8.361298333,8.428077209,8.103504852,8.287068768,7.933438374
DNAJC27,6.56317695,6.601364996,6.568023046,6.579858022,6.448814956
MMGT1,7.407113951,7.52606802,7.392631334,7.277695998,7.365892289
DNAJC25,6.275779873,6.096453153,6.367365043,6.168968013,5.873399284
SP140,7.773203466,7.498565892,7.539914897,7.52606802,7.398366229
NTSR2,4.336200243,4.303040325,4.573868854,4.36688088,4.399289315
DNAJC22,4.837659356,4.657758115,4.762658928,4.465334108,4.781257941
DNAJC21,6.983288256,7.053756863,7.269009253,7.081487599,7.220556493
NTSR1,6.079387468,6.597376571,5.89206133,5.96032914,5.949417741
TRBV10-2,5.154575115,4.90845379,5.01245725,5.353073061,4.640243279
DTD1,7.8229188,7.343523893,7.624871132,7.714279863,7.431042977
TECTB,5.313000674,5.626430603,5.454354257,5.274660884,5.595621408
ARHGAP8,5.710723561,5.708351179,5.95163896,5.916134687,5.397861168
NBEAL2,10.0692614,10.21943149,8.875627988,8.863766148,8.676290023
ACN9,7.443053956,7.460183319,7.48249773,7.088450389,7.366976146
ARHGAP4,9.993511718,10.19835325,10.15745341,10.05081934,10.11106938
ARHGAP5,5.806893029,5.891550035,6.307813359,6.010298733,6.310272452
ARHGAP6,6.314952228,6.611288332,6.759750993,6.699586385,6.746277669
JAK2,8.960267664,9.174660215,9.055982936,8.802253875,8.381403124
ARHGAP1,8.369982209,8.264573005,8.213415418,8.137926947,8.180095385
AEN,7.707853788,7.59561774,7.567738635,7.621425707,7.725766476
FAM196B,5.482145838,5.407340707,5.321891241,5.288567144,5.677650583
FAM196A,4.250890631,4.751578383,4.590640277,4.618239598,4.356240486
C2orf62,6.709609161,6.602113371,6.891156348,6.999675921,7.039338407
PRLR,4.091967937,4.163696546,4.098122263,4.012040368,4.013664022
LAMA3,4.930139446,4.555323049,4.669141943,4.642401916,4.973850713
KIF9,4.875244876,4.600140096,5.298244318,5.365396894,5.342671488
SHOC2,9.861000795,9.71061234,9.771256903,9.62255299,9.463178325
NOL8,7.804397701,8.050212941,8.255198499,7.89351369,8.136080081
TMEM79,7.501614068,7.478852225,7.780552364,7.698886714,7.652827074
PRLH,7.114375094,7.30692435,7.14927208,7.241592819,7.222482539
OR4D11,5.389271867,5.249727802,5.166070523,5.245116336,5.218470305
PPP6C,9.637257474,9.389356521,9.254166452,9.569325621,9.301502602
OGG1,7.462680193,7.300380671,7.13793662,7.203261602,7.371995818
ZNF229,4.60363691,4.455092271,4.615466281,4.521887108,4.620800152
TMEM70,7.136300411,7.270341718,7.276806847,7.331459188,6.982143683
ANXA10,4.720840187,4.759748966,4.617640549,4.579504039,4.57849688
TMEM72,6.266617281,6.50121803,5.911576808,6.333147464,6.342512157
TMEM74,4.441652164,4.237596855,4.518708481,4.271489462,4.414052092
TMEM75,4.377332596,4.899178377,4.427092407,4.916773441,4.554511848
ATHL1,7.79455245,7.368744509,7.143181007,7.127682856,7.160957446
SLC39A12,4.925100846,4.746882033,4.837048899,4.686015122,4.858641046
FAM86A,7.401295725,7.217721005,7.001116971,7.403995393,7.287614643
FAM86C,7.650275065,7.470506128,7.346536771,7.654954637,7.684807929
HSPA4L,3.832461931,3.867877167,3.760513384,3.757232717,4.094633261
MYEOV2,7.177387786,7.071169337,7.241592819,7.140295352,6.977057056
CCT6P1,5.548255679,5.811522169,5.823203138,5.578425287,5.550537273
RPUSD4,8.325599508,8.107008898,8.072996183,7.977695414,8.356537869
MRPL4,7.51877706,7.268053719,7.276222559,7.209834901,7.145912107
RSPRY1,8.992906655,8.502977159,8.476235987,8.256467846,8.279406903
MRPL2,6.560776835,6.217632039,6.51846531,6.348231939,6.171885857
RPUSD1,8.02223724,7.944049199,7.862727788,8.04237166,8.15872547
RPUSD2,7.351452891,7.173719075,7.176216136,7.000382366,7.069270989
MRPL1,7.212853181,6.815816395,7.025330959,7.209575997,6.90833207
TTLL8,6.107938128,5.900738476,5.984824308,5.763255241,6.023409203
ZFAT,5.840020255,6.130552876,5.834438401,5.955157223,5.884133194
MRPL9,7.130945972,7.316076468,7.456993799,7.384551305,7.534872127
ZNF611,6.242308916,6.233969486,6.191151332,6.375194388,6.049923887
HOXC11,4.642401916,4.56762937,4.486706476,4.491986657,4.508145286
ZNF613,6.028667548,6.263018455,6.027890388,5.718201865,6.086847092
RUVBL1,7.867150186,7.867486322,8.116482729,7.670744173,7.881292072
ZNF614,5.301849608,5.288280184,5.301310691,5.375408333,5.421104832
ZNF616,6.59201804,6.638632257,6.520344437,6.921430967,6.724242337
SLC3A2,8.208796361,8.269737745,8.081864973,7.968034741,8.068189381
ZNF618,5.123689019,5.155494211,5.122041991,5.148387997,5.03562275
SLC3A1,4.52452844,4.45872035,4.480839393,4.402092987,4.417044485
THOC3,6.614099883,6.180334469,6.163742538,6.142334162,6.079898548
HOXC12,4.43125793,4.394578596,4.730284811,4.599603879,4.659262774
EIF4EBP1,7.530518809,7.991918295,7.604981122,7.798342754,7.818036295
EIF4EBP2,6.693738683,6.666493534,7.47851045,7.578636476,7.339681948
EDDM3A,3.773204199,3.880614693,3.955309663,4.091934515,3.837647234
MS4A12,5.399642192,5.479454999,5.195064735,5.364392592,5.544223909
MS4A13,3.926818184,3.836177756,3.86208517,3.869141366,4.779820369
MOG,4.474989581,4.481322946,4.445050046,4.47077555,4.4041898
MS4A15,4.655792815,4.463281793,4.634682656,4.604407594,4.509596898
HRSP12,5.47326801,5.423294493,5.186766958,4.717925834,5.25228748
BAG2,5.223793074,5.166594424,5.516946795,5.320926367,5.523299563
BAG3,7.873166519,7.750598895,7.818386805,7.630644445,8.374690763
BAG1,9.613700508,11.68003599,10.72555483,8.998887375,11.92976138
OR1L8,4.721620038,4.643924575,4.572854779,4.638400919,4.721620038
